//scripted by skyfear919@hotmail.com
4	Serpentine Sword	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0,6	1	1	0,7
5	Dazzling Sword	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0,6	1	1	0,7
6	Wyrm Sword	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0,6	1	1	0,7
7	Sacro Sword	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0,7	1,1	1	0,7
15	Criss Sword	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0,6	1	1	0,7
16	Paladin Sword	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0,6	1	1	0,7
17	Bone Sword	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0,6	1	1	0,7
18	Thunder Blade	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0,6	1	1	0,7
19	Onyx Sword	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0,6	1	1	0,7
20	Rebel Sword	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0,6	1	1	0,7
21	Charging Sword	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0,6	1	1	0,7
22	Crescent Sword	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0,6	1	1	0,7
23	Delusion Sword	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0,6	1	1	0,7
39	Exquisite Pistol	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0,6	1	1	0,7
40	Exquisite Rifle	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0,6	1	1	0,7
41	Laser Gun	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0,6	1	1	0,7
42	Venom Gun	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0,6	1	1	0,7
43	Firegun of Sol	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0,6	1	1	0,7
44	Token Pistol	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0,6	1	1	0,7
45	Gattling Firegun	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0,6	1	1	0,7
76	Moon Kris	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0,6	1	1	0,7
77	Hyena Dagger	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0,6	1	1	0,7
78	Dagger of Hydra	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0,6	1	1	0,7
79	Trident of Poseidon	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0,6	1	1	0,7
83	Crystalline Kris	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0,6	1	1	0,7
84	Vampiric Kris	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0,6	1	1	0,7
100	Grace Wand	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0,6	1	1	0,7
101	Beastly Wand	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0,6	1	1	0,7
102	Thundorian Staff	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0,6	1	1	0,7
103	Staff of Life	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0,6	1	1	0,7
107	Battle Stave	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0,6	1	1	0,7
108	Lotus Staff	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0,6	1	1	0,7
109	Staff of Wonders	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0,6	1	1	0,7
110	Revered Staff	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0,6	1	1	0,7
